,R0: Low & stable,R1: Low & stable,R2: Moderate,R3: Moderate,R4: Elevated,R5: High / Crisis
R0: Low & stable,0.6640625,0.10292119565217392,0.11650815217391304,0.06521739130434782,0.0390625,0.012228260869565218
R1: Low & stable,0.11200305810397554,0.6850152905198776,0.053516819571865444,0.14105504587155962,0.005733944954128441,0.002675840978593272
R2: Moderate,0.18943798449612403,0.0499031007751938,0.5891472868217055,0.07461240310077519,0.09060077519379844,0.006298449612403101
R3: Moderate,0.0643687707641196,0.16071428571428573,0.0834717607973422,0.5660299003322259,0.09842192691029901,0.026993355481727575
R4: Elevated,0.07888198757763976,0.010559006211180125,0.1031055900621118,0.14720496894409937,0.6086956521739131,0.0515527950310559
R5: High / Crisis,0.06612903225806452,0.012903225806451613,0.008064516129032258,0.12258064516129032,0.11935483870967742,0.6709677419354839
