K,BIC,AIC,Silhouette,Selected
2,32467.046439216647,31939.85654435114,0.5920469420750778,
3,-3144.86302374016,-3939.3604709318415,0.15290276894705657,
4,-22829.710783098093,-23891.51578261595,0.1118190935153199,
5,-31365.615055492435,-32694.727607336463,0.0737967777191606,
6,-39389.774271026516,-40986.19437519672,0.012860869934180244,YES
