,precision,recall,f1-score,support
0,0.5060240963855421,0.5242718446601942,0.5149863760217984,721.0
1,0.2832980972515856,0.5,0.3616734143049933,268.0
2,0.5045045045045045,0.45714285714285713,0.4796573875802998,735.0
3,0.3466933867735471,0.3769063180827887,0.36116910229645094,459.0
4,0.5427251732101617,0.46168958742632615,0.4989384288747346,509.0
5,0.8282828282828283,0.36444444444444446,0.5061728395061729,225.0
accuracy,0.4586904353788139,0.4586904353788139,0.4586904353788139,0.4586904353788139
macro avg,0.5019213477346949,0.44740917529276847,0.4537662580974083,2917.0
weighted avg,0.49136821680660897,0.4586904353788139,0.4643150494196691,2917.0
