split,n_observations,n_countries,year_start,year_end,target_up_1q_rate,target_up_2q_rate,target_up_4q_rate
train,7162,121,1971,2014,0.17886065344875732,0.2527227031555431,0.3246299916224518
validation,2048,133,2015,2018,0.177734375,0.25390625,0.3466796875
test_covid,1064,133,2019,2020,0.20884289746001883,0.3097928436911488,0.4215500945179584
test_ukraine,2123,134,2021,2025,0.19708396178984414,0.27169811320754716,0.3228445563247325
